	Product_title	sub_title	price	colors	product_link
121	Jordan	Everyday Crew Socks (3 pairs)	MRP : â‚¹ 1 295	3 Colours	https://www.nike.com/in/t/jordan-everyday-crew-socks-l9lmDn/DX9632-902
122	Nike Sportswear Somos Familia	Men's T-Shirt	MRP : â‚¹ 2 195	3 Colours	https://www.nike.com/in/t/sportswear-somos-familia-t-shirt-qtJFxr/DZ4697-100
123	Nike Dri-FIT UV Miler Run Division	Men's Short-Sleeve Graphic Running Top	MRP : â‚¹ 2 495	2 Colours	https://www.nike.com/in/t/dri-fit-uv-miler-run-division-short-sleeve-graphic-running-top-bRstbr/DQ6492-010
124	F.C. Barcelona 2022/23 Stadium Home	Men's Nike Dri-FIT Football Shirt	MRP : â‚¹ 4 695	1 Colour	https://www.nike.com/in/t/fc-barcelona-2022-23-stadium-home-dri-fit-football-shirt-HFV375/DM1840-452
125	Nike Elite Mid	Basketball Socks	MRP : â‚¹ 595	2 Colours	https://www.nike.com/in/t/elite-mid-basketball-socks-vhKxF5/SX7625-013
126	Nike Sportswear JDI	Men's T-Shirt	MRP : â‚¹ 1 495	1 Colour	https://www.nike.com/in/t/sportswear-jdi-t-shirt-fWxmBB/AR5007-011
127	Nike Dri-FIT Legend	Men's Graphic Training T-Shirt	MRP : â‚¹ 1 795	2 Colours	https://www.nike.com/in/t/dri-fit-legend-graphic-training-t-shirt-4Hxc0R/DM6284-010
128	Jordan	Everyday Ankle Socks (3 Pairs)	MRP : â‚¹ 1 295	2 Colours	https://www.nike.com/in/t/jordan-everyday-ankle-socks-PqW8xF/DX9655-010
129	Nike Dri-FIT Wild Run	Running T-Shirt	MRP : â‚¹ 1 795	2 Colours	https://www.nike.com/in/t/dri-fit-wild-run-running-t-shirt-BTcN2n/DM5436-010
130	Nike AeroSwift	Men's 5cm (approx.) Running Shorts	MRP : â‚¹ 3 695	2 Colours	https://www.nike.com/in/t/aeroswift-5cm-running-shorts-5bdgzt/CJ7838-804
131	Nike Dri-FIT D.Y.E.	Men's Knit Training Shorts	MRP : â‚¹ 2 495	2 Colours	https://www.nike.com/in/t/dri-fit-dye-knit-training-shorts-W6zCs3/DQ6678-369
132	FFF 2022/23 Stadium Home	Men's Nike Dri-FIT Football Shorts	MRP : â‚¹ 2 495	1 Colour	https://www.nike.com/in/t/fff-2022-23-stadium-home-dri-fit-football-shorts-NShFBN/DN0731-100
133	Paris Saint-Germain Strike	Men's Nike Dri-FIT Short-Sleeve Football Top	MRP : â‚¹ 2 495	1 Colour	https://www.nike.com/in/t/paris-saint-germain-strike-dri-fit-short-sleeve-football-top-FbJZFk/DJ8589-101
134	Nike Dri-FIT	Men's Fitness T-Shirt	MRP : â‚¹ 1 795	2 Colours	https://www.nike.com/in/t/dri-fit-fitness-t-shirt-2hPWmd/DX0980-063
135	Nike Dri-FIT	Men's Trail Running T-Shirt	MRP : â‚¹ 2 495	2 Colours	https://www.nike.com/in/t/dri-fit-trail-running-t-shirt-KtnDGS/DV9380-410
136	New Orleans Pelicans Icon Edition 2022/23	Nike Dri-FIT NBA Swingman Jersey	MRP : â‚¹ 5 995	1 Colour	https://www.nike.com/in/t/new-orleans-pelicans-icon-edition-2022-23-dri-fit-nba-swingman-jersey-rjf3d0/DN2014-419
137	Nike Sportswear	Men's T-Shirt	MRP : â‚¹ 1 795	1 Colour	https://www.nike.com/in/t/sportswear-t-shirt-xL1Jbh/DN5190-657
138	Nike Spark Lightweight	No-Show Running Socks	MRP : â‚¹ 895	1 Colour	https://www.nike.com/in/t/spark-lightweight-no-show-running-socks-898G3H/DA3589-010
139	Nike Dri-FIT Giannis	Men's Basketball Jersey	MRP : â‚¹ 3 195	2 Colours	https://www.nike.com/in/t/dri-fit-giannis-basketball-jersey-Vv2wF6/DQ5655-010
140	Nike Sportswear	Men's Lined Woven Shorts	MRP : â‚¹ 3 795	2 Colours	https://www.nike.com/in/t/sportswear-lined-woven-shorts-TQwn96/DM5282-365
141	Jordan Essentials	Men's Woven Trousers	MRP : â‚¹ 3 695	1 Colour	https://www.nike.com/in/t/jordan-essentials-woven-trousers-2NkzfV/DQ7509-206
142	Nike Sportswear Circa	Men's Lined Winterized Trousers	MRP : â‚¹ 7 695	1 Colour	https://www.nike.com/in/t/sportswear-circa-lined-winterized-trousers-bhFQ2B/DQ4258-072
